iter	Passed	Remaining
0	7	6276
1	12	5377
2	18	5167
3	23	4821
4	28	4718
5	33	4575
6	38	4545
7	42	4430
8	47	4367
9	52	4309
10	56	4243
11	61	4228
12	66	4190
13	70	4156
14	75	4123
15	80	4135
16	85	4119
17	90	4124
18	96	4135
19	101	4153
20	107	4176
21	113	4179
22	118	4184
23	123	4172
24	128	4154
25	133	4156
26	139	4161
27	144	4162
28	149	4168
29	154	4147
30	159	4141
31	164	4125
32	169	4119
33	174	4105
34	178	4089
35	183	4072
36	188	4075
37	194	4083
38	200	4096
39	205	4089
40	212	4110
41	218	4124
42	224	4135
43	229	4134
44	235	4133
45	243	4180
46	250	4204
47	258	4242
48	264	4246
49	272	4275
50	280	4315
51	287	4330
52	293	4325
53	299	4324
54	305	4330
55	312	4349
